
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Registry                       100 Services                   0     90,416 K
smss.exe                       436 Services                   0      1,132 K
csrss.exe                      608 Services                   0      5,860 K
csrss.exe                      692 Console                    1      7,168 K
wininit.exe                    716 Services                   0      6,524 K
winlogon.exe                   760 Console                    1     11,696 K
services.exe                   832 Services                   0     10,228 K
lsass.exe                      852 Services                   0     24,648 K
svchost.exe                    980 Services                   0     34,452 K
WUDFHost.exe                  1004 Services                   0      5,640 K
fontdrvhost.exe                 68 Console                    1      6,520 K
fontdrvhost.exe                304 Services                   0      2,344 K
WUDFHost.exe                   876 Services                   0     11,864 K
svchost.exe                   1028 Services                   0     17,616 K
svchost.exe                   1100 Services                   0     10,468 K
dwm.exe                       1160 Console                    1     95,560 K
WUDFHost.exe                  1316 Services                   0      8,460 K
svchost.exe                   1392 Services                   0     10,616 K
svchost.exe                   1428 Services                   0      7,704 K
svchost.exe                   1496 Services                   0      9,828 K
svchost.exe                   1492 Services                   0     12,688 K
svchost.exe                   1576 Services                   0      9,736 K
IntelCpHDCPSvc.exe            1616 Services                   0      6,848 K
svchost.exe                   1624 Services                   0      7,928 K
svchost.exe                   1660 Services                   0      5,732 K
svchost.exe                   1676 Services                   0      7,252 K
svchost.exe                   1816 Services                   0     11,296 K
IntelCpHeciSvc.exe            1848 Services                   0      6,412 K
svchost.exe                   1868 Services                   0     13,788 K
svchost.exe                   1908 Services                   0     19,760 K
svchost.exe                   1956 Services                   0     11,280 K
svchost.exe                   2084 Services                   0      5,632 K
svchost.exe                   2176 Services                   0     17,908 K
svchost.exe                   2236 Services                   0     14,800 K
svchost.exe                   2292 Services                   0      8,700 K
svchost.exe                   2324 Services                   0      7,584 K
svchost.exe                   2400 Services                   0     12,552 K
svchost.exe                   2448 Services                   0      9,480 K
gxxsvc.exe                    2548 Services                   0     14,760 K
svchost.exe                   2628 Services                   0     12,236 K
svchost.exe                   2696 Services                   0      6,920 K
svchost.exe                   2764 Services                   0      8,928 K
svchost.exe                   2816 Services                   0     17,844 K
svchost.exe                   2924 Services                   0     10,656 K
svchost.exe                   2984 Services                   0      7,520 K
svchost.exe                   3052 Services                   0      7,772 K
svchost.exe                   2124 Services                   0      6,372 K
QMEmulatorService.exe         2656 Services                   0      8,572 K
svchost.exe                   3188 Services                   0      7,048 K
svchost.exe                   3240 Services                   0      7,164 K
dasHost.exe                   3276 Services                   0      8,992 K
svchost.exe                   3348 Services                   0      9,116 K
svchost.exe                   3540 Services                   0      7,976 K
svchost.exe                   3600 Services                   0      7,104 K
svchost.exe                   3776 Services                   0      8,472 K
svchost.exe                   4020 Services                   0      6,592 K
svchost.exe                   4036 Services                   0    108,996 K
svchost.exe                   4052 Services                   0      5,392 K
Memory Compression            3152 Services                   0    215,744 K
svchost.exe                   3468 Services                   0      7,596 K
igfxCUIService.exe            3508 Services                   0      8,124 K
svchost.exe                   3264 Services                   0      7,664 K
svchost.exe                   4136 Services                   0     14,668 K
svchost.exe                   4272 Services                   0     22,868 K
svchost.exe                   4348 Services                   0     10,904 K
svchost.exe                   4356 Services                   0      6,284 K
svchost.exe                   4532 Services                   0     21,940 K
svchost.exe                   4568 Services                   0     17,984 K
svchost.exe                   4576 Services                   0     13,524 K
svchost.exe                   4628 Services                   0     11,060 K
spoolsv.exe                   4644 Services                   0     13,844 K
svchost.exe                   4724 Services                   0     12,892 K
svchost.exe                   4864 Services                   0     13,964 K
CxUtilSvc.exe                 4872 Services                   0      7,168 K
CxAudioSvc.exe                4880 Services                   0     23,740 K
AdobeUpdateService.exe        4888 Services                   0      6,364 K
AGSService.exe                4896 Services                   0     13,352 K
AGMService.exe                4904 Services                   0      9,928 K
svchost.exe                   4912 Services                   0     31,380 K
svchost.exe                   4932 Services                   0     31,220 K
fpCSEvtSvc.exe                4968 Services                   0      5,444 K
HotKeyServiceUWP.exe          5028 Services                   0     11,484 K
ibtsiva.exe                   5052 Services                   0      4,796 K
svchost.exe                   5072 Services                   0      7,736 K
